MAKE_MODEL_CODE,MODEL_DESC,A,B,D,E,MODEL_DESC_DETAIL,ACOR_TOTAL
CTWN,CHRYTOWN,0,1,0,0,CHRYTOWN,30105
JCHA,JEEPCHEA,0,1,1,0,JEEPCHEA,1692
FOFN,FORDFUSI,0,1,0,1,FORDFUSI,404
NIAL,NISSALTI,1,1,1,1,NISSALTI,1402
KISS,KIA SPOR,1,0,0,0,KIA SPOR,2035
,CHEVSUBU,0,0,1,1,CHEVSUBU,160
HYAC,HYUNACCH,0,0,1,0,HYUNACCH,78
NIAL,NISSAN ALTIMA SEDAN,0,1,1,0,NISSAN ALTIMA SEDAN,213
XGYL,GMCYUKXL,1,0,1,1,GMCYUKXL,721
KISL,KIA SOUL,1,1,0,0,KIA SOUL,18549
XSEH,HYUNSONT,1,1,1,0,HYUNSONT,384
HYSL,HYUNSONA,0,0,1,0,HYUNSONA,744
CHIM,CHEVIMPA,1,0,0,0,CHEVIMPA,1506
CHE2,CHEVEQU2,1,0,0,1,CHEVEQU2,629
CHIM,CHEVIMPA,0,1,1,1,CHEVIMPA,202
BX1R,BMW X1 RWD,0,0,0,0,BMW X1 RWD,1037
CHEQ,CHEVEQUI,0,1,1,1,CHEVEQUI,459
VWJE,VOLKJETT,0,1,1,1,VOLKJETT,3223
FTRW,FORDTRAW,0,0,0,0,FORDTRAW,998
FOE2,FORDESC2,0,0,0,0,FORDESC2,1350
CHIP,CHEVIMPL,1,1,0,0,CHEVIMPL,578
K900,KIA K900,1,0,0,0,KIA K900,1400
KIFO,KIA FORT,0,0,1,0,KIA FORT,1144
CX5F,MAZDCX5F,1,1,0,0,MAZDCX5F,58
FTRW,FORDTRAW,1,0,1,0,FORDTRAW,1440
HYEL,HYUNELAN,1,1,1,0,HYUNELAN,1688
CHCZ,CHEVCRUZ,1,0,1,1,CHEVCRUZ,236
CCAT,CHEVCAPT,1,0,1,0,CHEVCAPT,3612
TSIE,TOYOSIEN,1,0,0,0,TOYOSIEN,1675
MA3S,MAZD3SED,0,0,1,0,MAZD3SED,517
FOFN,FORD FUSION FWD,1,1,1,1,FORD FUSION FWD,347
CTWN,CHRYTOWN,0,0,0,1,CHRYTOWN,236
HYSL,HYUNSONA,0,0,1,1,HYUNSONA,3592
CHIP,CHEVIMPL,0,1,0,1,CHEVIMPL,111
CHIM,CHEVIMPA,1,0,0,1,CHEVIMPA,186
MA5S,MAZD5SPT,0,0,0,1,MAZD5SPT,6496
KISL,KIA SOUL,1,0,0,0,KIA SOUL,1306
KIFO,KIA FORT,1,1,1,0,KIA FORT,254
KIRO,KIA RIO,1,0,0,1,KIA RIO,3078
CHCZ,CHEVCRUZ,1,0,1,1,CHEVCRUZ,197
VOPS,VOLKPASS,0,1,0,0,VOLKPASS,793
FTA2,FORDTAU2,1,1,0,1,FORDTAU2,307
CTWN,CHRYTOWN,1,0,1,0,CHRYTOWN,1490
KISD,KIA SEDO,1,0,0,1,KIA SEDO,10327
TSIE,TOYOSIEN,0,0,0,0,TOYOSIEN,820
KIOP,KIA OPTI,1,0,1,1,KIA OPTI,909
CHIM,CHEVIMPA,0,0,0,1,CHEVIMPA,2578
TOYB,TOYOCRLA,0,1,1,1,TOYOCRLA,5441
CHIM,CHEVIMPA,0,1,0,1,CHEVIMPA,31233
